transaction_id,credit_card,amount
71a8ccc0-a806-4ccf-8f61-6c9bcae67703,3572494036408323,"€68,63"
2561504a-514c-4fd5-a625-5e0edbb4b010,3573252932464066,"€46,65"
1a86ab9f-5ccd-4afa-bf0d-b3c23eb48ca3,3536130058661994,"€95,29"
c2dbe6f0-0e73-4662-84ce-5376f0535eed,4844627100656505,"€69,79"
d7d3faf6-2b95-4c3e-8f49-8896e0b7237c,4026548019912518,"€85,45"
c9556713-594e-4ce3-aa7f-7298ac78c7cd,3583646397532663,"€6,48"
57583f1a-6d41-41e6-9304-62a97ed66196,3539033448247978,"€39,77"
d319d2ff-b4ba-4c35-813b-ba6a1d101ccd,3580826117872408,"€55,41"
cd062904-1dbe-4732-8235-b0708e7d5523,4017951871086,"€12,93"
ed42fc71-3a88-46c7-ab33-2445359dad22,4917085224353495,"€25,46"
81366f84-1987-40f1-9da6-1aa62dd33256,6759269786962704131,"€24,43"
404ca8c2-0e21-41cb-b92f-065407e2f233,6762516247880982,"€86,59"
0ba27ced-7a74-437c-a0d8-bf3eb87a2cf5,3536607573555355,"€75,13"
1de54f65-e3eb-4272-9c1a-696e0d6f3ce8,3572090146644938,"€86,99"
9be69480-2b8c-4890-81ec-e6f03f8f26c0,676776106765300003,"€59,40"
1a859ec5-38e1-4780-83d9-ebd2140d9e6a,6333202020953888,"€29,05"
fdbb8b6f-b19e-4c3d-8242-1a16eaac0d71,3571779763386374,"€34,09"
4137eb5c-786f-4999-b377-f1332418dc1c,3534841429635846,"€37,44"
a5b047cf-e6bd-4b9b-ab46-a845cb8dbb2e,3573203693360779,"€45,01"
7ecc7431-2b0c-4956-9899-7134dd8e2a40,201929866770339,"€71,49"
c647c9eb-f8bd-40de-a8b6-b4801feb9232,5100179294391826,"€50,05"
cf44cebe-c7a4-4169-90d8-280a36c14f0b,3581213918511866,"€12,03"
9aa20fb7-a5f9-4cbd-a13d-622d3460d19a,3538914215524106,"€85,82"
185e7222-1c3a-4c03-8f9e-3248370d3d61,4041595755513,"€17,81"
5f390c3d-542a-470c-b00d-98feac27809d,3544726716210544,"€76,36"
5840697f-f842-4228-8013-1dbe28c3f4cd,30060630531307,"€72,00"
31e48836-b76e-4dd9-b552-8d71ada7445c,3588782156764562,"€58,37"
9c7ec07f-0c45-47d3-91b7-6d20fc6064a6,3563228382068542,"€51,01"
